mode,circuit_id,selected_step_index,matrix_size,nnz_A,selected_edge_budget,interface_solve_mode,direct_solve_baseline,gmres_used,gmres_iterations,gmres_info,true_rel_residual,chosen_success,setup_time,solve_time,total_wall_time,peak_rss_kb,status,timeout_hit,P_nnz,P_factor_fill_nnz,failure_stage,failure_reason
interface_basis_snapshot_pod_r1_sparse,19,7,160,1028,,,False,True,7,0,2.6270850290726906e-12,True,0.026408766862004995,0.019147925078868866,0.05004041502252221,387740,ok,False,21,31,,
interface_basis_snapshot_pod_r2_sparse,19,7,160,1028,,,False,True,7,0,2.5494522694151797e-12,True,0.03135546064004302,0.014762076083570719,0.05135157285258174,387792,ok,False,21,31,,
interface_basis_snapshot_pod_r4_sparse,19,7,160,1028,,,False,True,7,0,3.5466600404156135e-12,True,0.03291803319007158,0.015156027860939503,0.05328389164060354,387796,ok,False,21,31,,
interface_basis_schur_low_rank_r1_sparse,19,7,160,1028,,,False,True,7,0,2.9559105865320032e-12,True,0.029808569233864546,0.015385489910840988,0.050247443839907646,387728,ok,False,21,31,,
interface_basis_schur_low_rank_r2_sparse,19,7,160,1028,,,False,True,7,0,1.5844526432445556e-12,True,0.03080670814961195,0.014606122393161058,0.05047194706276059,387764,ok,False,21,31,,
interface_basis_schur_low_rank_r4_sparse,19,7,160,1028,,,False,True,7,0,4.9559681833799015e-12,True,0.02994233090430498,0.014552551787346601,0.04991835542023182,387752,ok,False,21,31,,
semantic_cell_core_sparse,21,8,274,1738,,,False,True,14,0,6.096222612351127e-09,True,0.005742162000387907,0.0034253601916134357,0.01740057487040758,385984,ok,False,,,,
local_sparse_schur_sparse,21,8,274,1738,4096,spilu,False,True,11,0,1.687747678590548e-09,True,0.03426233399659395,0.03128069080412388,0.07394902314990759,386676,ok,False,45,68,,
interface_basis_constant_r1_sparse,21,8,274,1738,,,False,True,11,0,1.6877476566203404e-09,True,0.04346070438623428,0.03132858965545893,0.08240223117172718,389188,ok,False,45,68,,
interface_basis_constant_r2_sparse,21,8,274,1738,,,False,True,11,0,1.687747465365009e-09,True,0.04375128215178847,0.03135470021516085,0.08406529203057289,389228,ok,False,45,68,,
interface_basis_constant_r4_sparse,21,8,274,1738,,,False,True,11,0,1.6877475644971845e-09,True,0.040445858146995306,0.032354211900383234,0.08024725271388888,389256,ok,False,45,68,,
interface_basis_graph_laplacian_r1_sparse,21,8,274,1738,,,False,True,11,0,1.6877476833441813e-09,True,0.04640573030337691,0.032304198015481234,0.08671261696144938,389276,ok,False,45,68,,
interface_basis_graph_laplacian_r2_sparse,21,8,274,1738,,,False,True,11,0,1.6877477298449985e-09,True,0.04202237678691745,0.031231338158249855,0.08125445898622274,389300,ok,False,45,68,,
interface_basis_graph_laplacian_r4_sparse,21,8,274,1738,,,False,True,11,0,1.6877484066945716e-09,True,0.04420033795759082,0.03259739000350237,0.08527292590588331,389332,ok,False,45,68,,
interface_basis_snapshot_pod_r1_sparse,21,8,274,1738,,,False,True,11,0,1.687734890494725e-09,True,0.04679437167942524,0.031761806923896074,0.08810818428173661,389304,ok,False,45,68,,
interface_basis_snapshot_pod_r2_sparse,21,8,274,1738,,,False,True,11,0,1.6877461849920158e-09,True,0.051277052611112595,0.04357918817549944,0.10259686596691608,389436,ok,False,45,68,,
interface_basis_snapshot_pod_r4_sparse,21,8,274,1738,,,False,True,11,0,1.6877479174549449e-09,True,0.05548753123730421,0.045414313673973083,0.1119611500762403,389352,ok,False,45,68,,
interface_basis_schur_low_rank_r1_sparse,21,8,274,1738,,,False,True,11,0,1.687747760897439e-09,True,0.04151589283719659,0.031015972141176462,0.08021651487797499,389284,ok,False,45,68,,
interface_basis_schur_low_rank_r2_sparse,21,8,274,1738,,,False,True,11,0,1.6877477700466688e-09,True,0.0480636116117239,0.033136575017124414,0.0900812903419137,389332,ok,False,45,68,,
interface_basis_schur_low_rank_r4_sparse,21,8,274,1738,,,False,True,11,0,1.6877474630457836e-09,True,0.04030273901298642,0.030622531194239855,0.07919215643778443,389336,ok,False,45,68,,
semantic_cell_core_sparse,27,9,350,2282,,,False,True,6,0,1.3212035650051285e-09,True,0.006709895096719265,0.0017849807627499104,0.01903553307056427,386360,ok,False,,,,
local_sparse_schur_sparse,27,9,350,2282,4096,spilu,False,True,5,0,1.862608476634263e-12,True,0.041863726917654276,0.021032683551311493,0.07329282816499472,387036,ok,False,46,71,,
interface_basis_constant_r1_sparse,27,9,350,2282,,,False,True,5,0,1.862608481617396e-12,True,0.054387740790843964,0.021787114907056093,0.08698986796662211,388100,ok,False,46,71,,
interface_basis_constant_r2_sparse,27,9,350,2282,,,False,True,5,0,1.135161352850183e-10,True,0.09004559274762869,0.039035672787576914,0.14735213899984956,388040,ok,False,46,71,,
interface_basis_constant_r4_sparse,27,9,350,2282,,,False,True,5,0,5.998954591213739e-10,True,0.05856798170134425,0.038230556063354015,0.10699026891961694,389868,ok,False,46,71,,
interface_basis_graph_laplacian_r1_sparse,27,9,350,2282,,,False,True,5,0,5.827870798042983e-11,True,0.08889790158718824,0.03466158593073487,0.13990215072408319,388128,ok,False,46,71,,
interface_basis_graph_laplacian_r2_sparse,27,9,350,2282,,,False,True,5,0,9.886879158436025e-11,True,0.05757065303623676,0.02236058423295617,0.0932504371739924,389828,ok,False,46,71,,
interface_basis_graph_laplacian_r4_sparse,27,9,350,2282,,,False,True,5,0,5.216551036157745e-10,True,0.058032453060150146,0.022559108212590218,0.09240069799125195,389804,ok,False,46,71,,
interface_basis_snapshot_pod_r1_sparse,27,9,350,2282,,,False,True,5,0,3.72060672202362e-12,True,0.062403502874076366,0.021547784097492695,0.09528652112931013,388128,ok,False,46,71,,
interface_basis_snapshot_pod_r2_sparse,27,9,350,2282,,,False,True,5,0,5.869848442593078e-12,True,0.0585906240157783,0.02184400102123618,0.09072737721726298,388176,ok,False,46,71,,
interface_basis_snapshot_pod_r4_sparse,27,9,350,2282,,,False,True,5,0,5.15482797984561e-12,True,0.0888759708032012,0.03794569009914994,0.14336886769160628,388160,ok,False,46,71,,
interface_basis_schur_low_rank_r1_sparse,27,9,350,2282,,,False,True,5,0,1.8626096545904607e-12,True,0.05718262307345867,0.022644688840955496,0.09137782175093889,388100,ok,False,46,71,,
interface_basis_schur_low_rank_r2_sparse,27,9,350,2282,,,False,True,5,0,2.7500829982529445e-12,True,0.05657432693988085,0.022934495005756617,0.08991895522922277,388160,ok,False,46,71,,
interface_basis_schur_low_rank_r4_sparse,27,9,350,2282,,,False,True,5,0,6.780501975904957e-12,True,0.05441043293103576,0.022066872101277113,0.0874708341434598,389932,ok,False,46,71,,
semantic_cell_core_sparse,28,10,398,2614,,,False,True,6,0,1.2514560334074078e-09,True,0.00761518906801939,0.0017608855850994587,0.021579212974756956,386592,ok,False,,,,
local_sparse_schur_sparse,28,10,398,2614,4096,spilu,False,True,5,0,2.0856134222549337e-12,True,0.0807794351130724,0.0401745168492198,0.14119055680930614,387388,ok,False,49,73,,
interface_basis_constant_r1_sparse,28,10,398,2614,,,False,True,5,0,4.3916369442120315e-10,True,0.06488147983327508,0.024342705961316824,0.10174685623496771,388388,ok,False,49,73,,
